,Год_сдачи,Название_квартала,Цена,Компания,Адрес,Класс_недвижимости,Площадь,Конструкция,Мин_цена,Макс_цена,Мин_площадь,Макс_площадь,Средняя_цена
18,БУДЕТ СДАН В 2023,"ЖК «Квартал Федерация», г. Екатеринбург","[5604000, 11203000]",ООО «Проспект Девелопмент»,г. Екатеринбург ул. Щорса,Комфорт класс,от 48 до 107 м2,Каркасно-кирпичный,5604000,11203000,48,107,8403500.0
19,БУДЕТ СДАН В 2023,"ЖК «Парк Каменные Палатки», г. Екатеринбург","[4296660, 13687300]",ГК «Астра»,г. Екатеринбург ул. Владимира Высоцкого,Комфорт класс,от 37 до 121 м2,Монолитно-кирпичный,4296660,13687300,37,121,8991980.0
20,БУДЕТ СДАН В 2023,"ЖК «Солнечный», г. Екатеринбург","[3797000, 6474000]",ООО «Синара-Девелопмент»,г. Екатеринбург ул 2-я Новосибирская,Комфорт класс,от 24 до 105 м2,Монолитный,3797000,6474000,24,105,5135500.0
21,БУДЕТ СДАН В 2023,"ЖК «Светлый», г. Екатеринбург","[1770000, 3029000]",TEN,г. Екатеринбург Микрорайон Светлый,Комфорт класс,от 28 до 83 м2,Монолитный,1770000,3029000,28,83,2399500.0
22,БУДЕТ СДАН В 2023,"ЖК «Цветной бульвар», г. Екатеринбург","[2701300, 9120000]",АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург ул Сулимова,Комфорт класс,от 21 до 108 м2,Панельный,2701300,9120000,21,108,5910650.0
23,БУДЕТ СДАН В 2023,"ЖК «Московский квартал», г. Екатеринбург","[4914160, 9610200]",АО «Земельный ресурс»,г. Екатеринбург ул Московская,Комфорт класс,от 45 до 127 м2,Монолитный,4914160,9610200,45,127,7262180.0
24,БУДЕТ СДАН В 2022,"ЖК «Домино», г. Екатеринбург","[2646820, 5289050]",ГК «Астра»,г. Екатеринбург ул Тенистая,Комфорт класс,от 24 до 66 м2,Монолитный,2646820,5289050,24,66,3967935.0
25,БУДЕТ СДАН В 2022,"ЖК «Архитектон», г. Екатеринбург","[5300000, 13700000]",Корпорация «Маяк»,г. Екатеринбург ул. Декабристов 20,Бизнес класс,от 40 до 106 м2,Монолитно-кирпичный,5300000,13700000,40,106,9500000.0
26,БУДЕТ СДАН В 2022,"ЖК «Рио-3», г. Екатеринбург","[2575320, 6725430]",СТРОЙТЭК,г. Екатеринбург ул. Евгения Савкова,Комфорт класс,от 19 до 83 м2,Монолитный,2575320,6725430,19,83,4650375.0
27,БУДЕТ СДАН В 2022,"ЖК «Атмосфера», г. Екатеринбург","[2575320, 11184000]",СТРОЙТЭК,"г. Екатеринбург ул Электриков УГПУ, 198 м",Комфорт класс,от 27 до 81 м2,Монолитный,2575320,11184000,27,81,6879660.0
28,БУДЕТ СДАН В 2022,"ЖК «Макаровский квартал», г. Екатеринбург","[12700000, 18300000]",УГМК-Холдинг,г. Екатеринбург набережная Олимпийская,Бизнес класс,от 53 до 140 м2,Монолитно-кирпичный,12700000,18300000,53,140,15500000.0
29,БУДЕТ СДАН В 2022,"ЖК «А 57» (Жилой дом на Амундсена), г. Екатеринбург","[4136000, 8263000]",ООО «Синара-Девелопмент»,г. Екатеринбург ул. Амундсена 57,Комфорт класс,от 31 до 108 м2,Монолитно-кирпичный,4136000,8263000,31,108,6199500.0
30,БУДЕТ СДАН В 2022,"Жилой комплекс «Исеть парк», г. Екатеринбург","[2310000, 7201280]",ПИК,г. Екатеринбург ул Хуторская,Комфорт класс,от 19 до 92 м2,Монолитный,2310000,7201280,19,92,4755640.0
31,БУДЕТ СДАН В 2022,"ЖК «Свобода Residence», г. Екатеринбург","[5300000, 19550000]",АТОМСТРОЙКОМПЛЕКС,"г. Екатеринбург ул Радищева 41 УИБ, 274 м",Бизнес класс,от 28 до 159 м2,Монолитный,5300000,19550000,28,159,12425000.0
32,БУДЕТ СДАН В 2022,"ЖК «Белорецкий II», м. Чкаловская","[3422650, 8300770]",ГК «Ривьера Инвест Екатеринбург»,г. Екатеринбург пер. Белорецкий,Комфорт класс,от 26 до 81 м2,Монолитно-кирпичный,3422650,8300770,26,81,5861710.0
33,БУДЕТ СДАН В 2022,"ЖК «Нагорный», г. Екатеринбург","[6900000, 12564500]",УГМК-Холдинг,г. Екатеринбург ул Токарей,Бизнес класс,от 53 до 125 м2,Монолитный,6900000,12564500,53,125,9732250.0
34,БУДЕТ СДАН В 2022,"ЖК «Макаровский», г. Екатеринбург","[11880000, 22971000]",УГМК-Холдинг,г. Екатеринбург ул Челюскинцев,Бизнес класс,от 67 до 363 м2,Монолитный,11880000,22971000,67,363,17425500.0
35,БУДЕТ СДАН В 2022,"ЖК «Изумрудный бор», г. Екатеринбург","[2748800, 11531000]",УГМК-Холдинг,г. Екатеринбург пр-кт Космонавтов,Комфорт класс,от 45 до 99 м2,Монолитно-кирпичный,2748800,11531000,45,99,7139900.0
36,БУДЕТ СДАН В 2022,"ЖК «Основа», г. Екатеринбург","[3567300, 16000000]",ООО «Фортис»,г. Екатеринбург ул Уральская 5,Комфорт класс,от 39 до 86 м2,Монолитный,3567300,16000000,39,86,9783650.0
37,БУДЕТ СДАН В 2022,"ЖК «Белая башня», г. Екатеринбург","[2344320, 6211560]",ГК «Ривьера Инвест Екатеринбург»,"г. Екатеринбург ул Донбасская Уральский филиал МГСУ, 240 м",Комфорт класс,от 24 до 86 м2,Монолитный,2344320,6211560,24,86,4277940.0
38,БУДЕТ СДАН В 2022,"ЖК «Проспект Мира. Компаунд», г. Екатеринбург","[4152000, 9460000]",Первостроитель,г. Екатеринбург ул Мира 47/2,Комфорт класс,от 32 до 110 м2,Монолитно-кирпичный,4152000,9460000,32,110,6806000.0
39,БУДЕТ СДАН В 2022,"Парк-комплекс «Шолохов», г. Екатеринбург","[3729440, 4778640]",ГК «Астра»,г. Екатеринбург ул Шолохова,Комфорт класс,от 35 до 73 м2,Монолитный,3729440,4778640,35,73,4254040.0
40,БУДЕТ СДАН В 2022,"ЖК «Парк Победы», г. Екатеринбург","[4037600, 6681000]",PRINZIP,г. Екатеринбург ул Бакинских комиссаров,Комфорт класс,от 36 до 103 м2,Монолитный,4037600,6681000,36,103,5359300.0
41,БУДЕТ СДАН В 2022,"ЖК «Парковый квартал», г. Екатеринбург","[3936000, 10017000]",PRINZIP,г. Екатеринбург ул Цвиллинга,Комфорт класс,от 29 до 119 м2,Монолитно-кирпичный,3936000,10017000,29,119,6976500.0
42,БУДЕТ СДАН В 2022,"ЖК «Весна», г. Екатеринбург","[3650000, 4400000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Дорожная 16,Комфорт класс,от 28 до 111 м2,Монолитный,3650000,4400000,28,111,4025000.0
43,БУДЕТ СДАН В 2022,"ЖК «Северный квартал», г. Екатеринбург","[3150000, 22290000]",Брусника,г. Екатеринбург ул. Стачек 68,Комфорт класс,от 20 до 232 м2,Монолитно-кирпичный,3150000,22290000,20,232,12720000.0
44,БУДЕТ СДАН В 2022,"ЖК «Art. Город-парк», г. Екатеринбург","[3300000, 9200000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул Краснолесья,Комфорт класс,от 37 до 84 м2,Монолитный,3300000,9200000,37,84,6250000.0
45,БУДЕТ СДАН В 2022,"Жилой комплекс «Космонавтов 11», г. Екатеринбург","[2268000, 6922300]",ПИК,"г. Екатеринбург пр-т Космонавтов 11, к. 2",Комфорт класс,от 20 до 90 м2,Монолитный,2268000,6922300,20,90,4595150.0
46,БУДЕТ СДАН В 2022,"ЖК Suomen Ranta, г. Екатеринбург","[3450000, 6917360]",АО «ЮИТ Санкт-Петербург»,г. Екатеринбург ул Машинная 31Б,Комфорт класс,от 24 до 72 м2,Монолитный,3450000,6917360,24,72,5183680.0
47,БУДЕТ СДАН В 2022,"ЖК «Белый парус», г. Екатеринбург","[5090000, 13840000]",ГК «Астра»,г. Екатеринбург ул. Татищева 140,Комфорт класс,от 33 до 146 м2,Монолитно-каркасный,5090000,13840000,33,146,9465000.0
48,БУДЕТ СДАН В 2022,"ЖК «Рифей», г. Верхняя Пышма","[2159000, 5080900]",АО «ЮИТ Санкт-Петербург»,г. Верхняя Пышма ул. Машиностроителей,Комфорт класс,от 27 до 76 м2,Монолитный,2159000,5080900,27,76,3619950.0
49,БУДЕТ СДАН В 2022,"ЖК «Симфония», г. Екатеринбург","[2894720, 6004300]",ЗАО «Желдорипотека»,г. Екатеринбург ул Коуровская 13,Комфорт класс,от 34 до 89 м2,Монолитно-каркасный,2894720,6004300,34,89,4449510.0
50,БУДЕТ СДАН В 2022,"Апарт-комплекс «Созвездие Феникс», г. Екатеринбург","[2800000, 5100000]",ООО «Энергоремстройкомплект»,"г. Екатеринбург ул. Бажова 166 Екатеринбургский филиал МГОПУ, 282 м",Бизнес класс,от 36 до 95 м2,Кирпичный,2800000,5100000,36,95,3950000.0
51,БУДЕТ СДАН В 2022,"ЖК «Меридиан», г. Екатеринбург","[1811250, 5384000]",АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург ул. Евгения Савкова 33А,Эконом класс,от 21 до 67 м2,Монолитно-панельный,1811250,5384000,21,67,3597625.0
52,БУДЕТ СДАН В 2022,"ЖК «Северное сияние», г. Екатеринбург","[7000000, 9050000]",АТОМСТРОЙКОМПЛЕКС,"г. Екатеринбург ул Кировградская 4, 8, 10",Комфорт класс,от 46 до 99 м2,Монолитный,7000000,9050000,46,99,8025000.0
53,БУДЕТ СДАН В 2022,"ЖК «Уральский», г. Екатеринбург","[2732450, 5785330]",ООО «Эфес»,г. Екатеринбург ул Блюхера,Комфорт класс,от 22 до 95 м2,Монолитный,2732450,5785330,22,95,4258890.0
54,БУДЕТ СДАН В 2022,"ЖК «Хрустальные ключи», г. Екатеринбург",[1757700],АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург ул Латвийская 54,Комфорт класс,от 21 до 81 м2,Панельный,1757700,0,21,81,1757700.0
